Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return
2018-09-05,11476.9501953125,11476.9501953125,11542.650390625,11393.849609375,11514.849609375,246100,-0.37628889968090995,-0.003769986473883496
2018-09-06,11536.900390625,11536.900390625,11562.25,11436.0498046875,11514.150390625,247900,0.5223530144531363,0.005209934834070753
2018-09-07,11589.099609375,11589.099609375,11603.0,11484.400390625,11558.25,295900,0.45245444601755835,0.0045143394792379185
2018-09-10,11438.099609375,11438.099609375,11573.0,11427.2998046875,11570.25,286700,-1.3029485041085365,-0.013115113390097494
2018-09-11,11287.5,11287.5,11479.400390625,11274.0,11476.849609375,0,-1.3166488710376734,-0.013253935347788789
2018-09-12,11369.900390625,11369.900390625,11380.75,11250.2001953125,11340.099609375,268200,0.7300145348837273,0.007273628261968242
2018-09-14,11515.2001953125,11515.2001953125,11523.25,11430.5498046875,11443.5,276600,1.2779338401883056,0.012698371727607837
2018-09-17,11377.75,11377.75,11464.9501953125,11366.900390625,11464.9501953125,201400,-1.1936413868727347,-0.012008224872722099
2018-09-18,11278.900390625,11278.900390625,11411.4501953125,11268.9501953125,11381.5498046875,240900,-0.8687975159851424,-0.008725935642451747
2018-09-19,11234.349609375,11234.349609375,11332.0498046875,11210.900390625,11326.650390625,250600,-0.3949922395540484,-0.003957743942134398
2018-09-21,11143.099609375,11143.099609375,11346.7998046875,10866.4501953125,11271.2998046875,719000,-0.812241056873042,-0.008155577062129398
2018-09-24,10967.400390625,10967.400390625,11170.150390625,10943.599609375,11164.400390625,0,-1.5767535507102526,-0.015893165427847328
2018-09-25,11067.4501953125,11067.4501953125,11080.599609375,10882.849609375,10969.9501953125,405000,0.9122472156029238,0.009081113743931286
2018-09-26,11053.7998046875,11053.7998046875,11145.5498046875,10993.0498046875,11145.5498046875,340500,-0.12333817079910325,-0.001234142949208208
2018-09-27,10977.5498046875,10977.5498046875,11089.4501953125,10953.349609375,11079.7998046875,405700,-0.6898080420062014,-0.006921982157626523
2018-09-28,10930.4501953125,10930.4501953125,11034.099609375,10850.2998046875,11008.099609375,478100,-0.4290539347394984,-0.004299770124143364
2018-10-01,11008.2998046875,11008.2998046875,11035.650390625,10821.5498046875,10930.900390625,387000,0.7122269255513958,0.007097025685968254
2018-10-03,10858.25,10858.25,10989.0498046875,10843.75,10982.7001953125,386800,-1.363060666494631,-0.013724356268050715
2018-10-04,10599.25,10599.25,10754.7001953125,10547.25,10754.7001953125,425100,-2.3852830796859514,-0.024141915818458322
2018-10-05,10316.4501953125,10316.4501953125,10540.650390625,10261.900390625,10514.099609375,606400,-2.6681114672028716,-0.027043516339215604
2018-10-08,10348.0498046875,10348.0498046875,10398.349609375,10198.400390625,10310.150390625,456200,0.3063031253653259,0.003058349730753957
2018-10-09,10301.0498046875,10301.0498046875,10397.599609375,10279.349609375,10390.2998046875,430500,-0.4541918611438267,-0.004552264462335634
